no,city,location,income,eggette,cbrick,gas,diesel,lgas,ngas,cgas,faeces,jg,fw,op,eu,euo,ekg,et,etc,cbu,cbuo,cbkg,cbt,cbtc,gu,guo,gl,gt,gtc,du,duo,dl,dt,dtc,lgu,lguo,lgkg,lgt,lgtc,ngt,ngtc,cgt,cgtc,fu,fuo,fkg,ft,ftc,jgu,jguo,jgkg,jgt,jgtc,fwu,fwuo,fwkg,fwt,fwtc,opu,opuo,opkg,opcm,opl,opt,optc
4,1,北京市,-1.0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1,北京市,0.0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,公斤,,,,600,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1,北京市,0.0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,1,北京市,-1.0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,75,160,,,,,,,,,,,,,,,,,,,,,,,,
44,1,北京市,1.0,0,0,1,0,0,1,0,0,0,0,电,,,,,,,,,,,升,,,,,,,,,,,,,,,1754,4100,,,,,,,,,,,,,,,,,,,,,,,,
49,2,北京市,0.0,0,0,0,0,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,公斤,,,40,440,,,,,,,,,,,,,,,公斤,,,250,,,,,,,,
60,1,北京市,1.0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,300,684,,,,,,,,,,,,,,,,,,,,,,,,
67,1,北京市,0.0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,10.0,10,500,,,,,,,,,,,,,,,,,,,,,,,,,,
77,1,北京市,-1.0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,1,北京市,-2.0,0,1,0,0,0,0,0,0,0,0,,,,,,,公斤,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,1,北京市,-1.0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,400,1000,,,,,,,,,,,,,,,,,,,,,,,,
104,1,北京市,-1.0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,1,北京市,-2.0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,80,200,,,,,,,,,,,,,,,,,,,,,,,,
118,1,北京市,-2.0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,25.0,3,300,,,,,,,,,,,,,,,,,,,,,,,,,,
135,1,北京市,0.0,0,1,0,0,1,0,0,0,0,0,,,,,,,公斤,,,4000,3480,,,,,,,,,,,,,15.0,12,552,,,,,,,,,,,,,,,,,,,,,,,,,,
143,1,北京市,-1.0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,720,,,,,,,,,,,,,,,,,,,,,,,,
146,1,北京市,-1.0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,1200,,,,,,,,,,,,,,,,,,,,,,
147,1,北京市,-1.0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,198,451.44,,,,,,,,,,,,,,,,,,,,,,,,
158,1,北京市,0.0,0,0,1,0,0,1,0,0,0,0,,,,,,,,,,,,升,,,2400,15000,,,,,,,,,,,80,170,,,,,,,,,,,,,,,,,,,,,,,,
170,1,北京市,1.0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,58,156,,,,,,,,,,,,,,,,,,,,,,,,
193,1,北京市,0.0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,1,北京市,0.0,0,0,1,0,0,1,0,0,0,0,,,,,,,,,,,,升,,,1000,5000,,,,,,,,,,,263,600,,,,,,,,,,,,,,,,,,,,,,,,
208,1,北京市,0.0,0,0,0,0,0,0,0,0,0,0,电,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,1,北京市,1.0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,200,600,,,,,,,,,,,,,,,,,,,,,,,,
235,1,北京市,1.0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,1,北京市,0.0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,公斤,,,240,500,,,,,,,,,,,,,,,,,,,,,,,,,,
242,1,北京市,1.0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,150,340,,,,,,,,,,,,,,,,,,,,,,,,
253,1,北京市,-1.0,0,1,0,0,1,0,0,0,0,0,,,,,,,拖拉机,,1650.0,1,2500,,,,,,,,,,,,,15.0,8,360,,,,,,,,,,,,,,,,,,,,,,,,,,
257,1,北京市,0.0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,1,北京市,1.0,0,0,1,0,0,1,0,0,0,0,,,,,,,,,,,,升,,,1667,10000,,,,,,,,,,,100,290,,,,,,,,,,,,,,,,,,,,,,,,
267,1,北京市,-1.0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,公斤,,,30,300,,,,,,,,,,,,,,,,,,,,,,,,,,
268,1,北京市,1.0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,10,300,,,,,,,,,,,,,,,,,,,,,,,,
270,1,北京市,-2.0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,1,北京市,0.0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,200,400,,,,,,,,,,,,,,,,,,,,,,,,
293,1,北京市,-1.0,0,0,0,0,0,0,0,0,0,0,电,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,1,北京市,1.0,0,0,0,0,0,0,0,0,0,0,电,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,1,北京市,0.0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,250,,,,,,,,,,,,,,,,,,,,,,
317,1,北京市,-1.0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,100,300,,,,,,,,,,,,,,,,,,,,,,,,
319,1,北京市,-1.0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,1,北京市,0.0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,公斤,,,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,
337,1,北京市,-1.0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,15.0,1,100,,,,,,,,,,,,,,,,,,,,,,,,,,
345,1,北京市,0.0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
